Running MPCC

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
du = [ 1.32931643e-07 -5.74327293e-07]  | limits = [0.25, 0.6]
k=252, solve_time = 10.36 ms
du = [ 1.31243153e-07 -5.67240186e-07]  | limits = [0.25, 0.6]
k=253, solve_time = 10.31 ms
du = [ 1.29590078e-07 -5.60285796e-07]  | limits = [0.25, 0.6]
k=254, solve_time = 10.26 ms
du = [ 1.27968997e-07 -5.53460823e-07]  | limits = [0.25, 0.6]
k=255, solve_time = 10.24 ms
du = [ 1.26378722e-07 -5.46762071e-07]  | limits = [0.25, 0.6]
k=256, solve_time = 10.16 ms
du = [ 1.24818428e-07 -5.40186438e-07]  | limits = [0.25, 0.6]
k=257, solve_time = 10.25 ms
du = [ 1.23287371e-07 -5.33730919e-07]  | limits = [0.25, 0.6]
k=258, solve_time = 10.23 ms
du = [ 1.21784813e-07 -5.27392599e-07]  | limits = [0.25, 0.6]
k=259, solve_time = 10.24 ms
du = [ 1.20310056e-07 -5.21168650e-07]  | limits = [0.25, 0.6]
k=260, solve_time = 10.21 ms
du = [ 1.18862402e-07 -5.15056328e-07]  | limits = [0.25, 0.6]
k=261, solve_time = 10.21 ms
du = [ 1.17441203e-07 -5.09052972e-07]  | limits = [0.25, 0.6]
k=262, solve_time = 10.22 ms
du = [ 1.16045827e-07 -5.03155999e-07]  | limits = [0.25, 0.6]
k=263, solve_time = 10.17 ms
du = [ 1.14675623e-07 -4.97362900e-07]  | limits = [0.25, 0.6]
k=264, solve_time = 10.24 ms
du = [ 1.13329999e-07 -4.91671241e-07]  | limits = [0.25, 0.6]
k=265, solve_time = 10.42 ms
du = [ 1.12008389e-07 -4.86078659e-07]  | limits = [0.25, 0.6]
k=266, solve_time = 10.23 ms
du = [ 1.10710183e-07 -4.80582857e-07]  | limits = [0.25, 0.6]
k=267, solve_time = 10.28 ms
du = [-5.08562365e-08 -4.66047223e-07]  | limits = [0.25, 0.6]
k=268, solve_time = 10.14 ms
du = [ 3.71889980e-08 -4.58457301e-07]  | limits = [0.25, 0.6]
k=269, solve_time = 10.21 ms
du = [ 9.48276684e-08 -4.53511287e-07]  | limits = [0.25, 0.6]
k=270, solve_time = 10.24 ms
du = [ 1.02423020e-07 -4.48615702e-07]  | limits = [0.25, 0.6]
k=271, solve_time = 10.21 ms
du = [ 1.0255543e-07 -4.4380183e-07]  | limits = [0.25, 0.6]
k=272, solve_time = 10.20 ms
du = [ 1.01614020e-07 -4.39067075e-07]  | limits = [0.25, 0.6]
k=273, solve_time = 10.28 ms
du = [ 1.00536595e-07 -4.34409737e-07]  | limits = [0.25, 0.6]
k=274, solve_time = 10.20 ms
du = [ 9.94556860e-08 -4.29828127e-07]  | limits = [0.25, 0.6]
k=275, solve_time = 10.22 ms
du = [ 9.83896446e-08 -4.25320597e-07]  | limits = [0.25, 0.6]
k=276, solve_time = 10.18 ms
du = [ 9.73406994e-08 -4.20885547e-07]  | limits = [0.25, 0.6]
k=277, solve_time = 10.22 ms
du = [ 9.63088391e-08 -4.16521415e-07]  | limits = [0.25, 0.6]
k=278, solve_time = 10.35 ms
du = [ 9.52937374e-08 -4.12226685e-07]  | limits = [0.25, 0.6]
k=279, solve_time = 11.22 ms
du = [ 9.42950482e-08 -4.07999877e-07]  | limits = [0.25, 0.6]
k=280, solve_time = 11.42 ms
du = [ 9.33124027e-08 -4.03839554e-07]  | limits = [0.25, 0.6]
k=281, solve_time = 12.33 ms
du = [ 9.23454701e-08 -3.99744315e-07]  | limits = [0.25, 0.6]
k=282, solve_time = 10.64 ms
du = [ 9.13939034e-08 -3.95712795e-07]  | limits = [0.25, 0.6]
k=283, solve_time = 10.46 ms
du = [ 9.04573783e-08 -3.91743663e-07]  | limits = [0.25, 0.6]
k=284, solve_time = 10.29 ms
du = [ 8.95355804e-08 -3.87835628e-07]  | limits = [0.25, 0.6]
k=285, solve_time = 10.24 ms
du = [ 8.86281938e-08 -3.83987426e-07]  | limits = [0.25, 0.6]
k=286, solve_time = 10.28 ms
du = [ 8.77349232e-08 -3.80197828e-07]  | limits = [0.25, 0.6]
k=287, solve_time = 10.29 ms
du = [ 8.68554638e-08 -3.76465637e-07]  | limits = [0.25, 0.6]
k=288, solve_time = 10.22 ms
du = [ 8.59895418e-08 -3.72789685e-07]  | limits = [0.25, 0.6]
k=289, solve_time = 10.28 ms
du = [ 8.51368614e-08 -3.69168834e-07]  | limits = [0.25, 0.6]
k=290, solve_time = 10.23 ms
du = [ 8.42971710e-08 -3.65601974e-07]  | limits = [0.25, 0.6]
k=291, solve_time = 10.26 ms
du = [ 8.34701854e-08 -3.62088024e-07]  | limits = [0.25, 0.6]
k=292, solve_time = 10.18 ms
du = [ 8.26556652e-08 -3.58625928e-07]  | limits = [0.25, 0.6]
k=293, solve_time = 10.17 ms
du = [ 8.18533353e-08 -3.55214658e-07]  | limits = [0.25, 0.6]
k=294, solve_time = 10.33 ms
du = [ 8.10629776e-08 -3.51853209e-07]  | limits = [0.25, 0.6]
k=295, solve_time = 10.36 ms
du = [ 8.02843229e-08 -3.48540603e-07]  | limits = [0.25, 0.6]
k=296, solve_time = 10.30 ms
du = [ 7.95171673e-08 -3.45275884e-07]  | limits = [0.25, 0.6]
k=297, solve_time = 10.28 ms
du = [ 7.87612559e-08 -3.42058121e-07]  | limits = [0.25, 0.6]
k=298, solve_time = 10.16 ms
du = [ 7.80163826e-08 -3.38886403e-07]  | limits = [0.25, 0.6]
k=299, solve_time = 10.35 ms
du = [ 7.72823310e-08 -3.35759843e-07]  | limits = [0.25, 0.6]
k=300, solve_time = 10.26 ms
du = [ 7.65588804e-08 -3.32677574e-07]  | limits = [0.25, 0.6]
k=301, solve_time = 10.20 ms
du = [ 7.58458334e-08 -3.29638751e-07]  | limits = [0.25, 0.6]
k=302, solve_time = 10.26 ms
du = [ 7.51429783e-08 -3.26642547e-07]  | limits = [0.25, 0.6]
k=303, solve_time = 10.29 ms
du = [ 7.44501291e-08 -3.23688156e-07]  | limits = [0.25, 0.6]
k=304, solve_time = 10.44 ms
du = [ 7.37670916e-08 -3.20774790e-07]  | limits = [0.25, 0.6]
k=305, solve_time = 10.23 ms
du = [ 7.3093667e-08 -3.1790168e-07]  | limits = [0.25, 0.6]
k=306, solve_time = 10.22 ms
du = [ 7.24296927e-08 -3.15068075e-07]  | limits = [0.25, 0.6]
k=307, solve_time = 10.30 ms
du = [ 7.17749707e-08 -3.12273241e-07]  | limits = [0.25, 0.6]
k=308, solve_time = 10.26 ms
du = [ 7.11293378e-08 -3.09516461e-07]  | limits = [0.25, 0.6]
k=309, solve_time = 10.27 ms
du = [ 7.04926207e-08 -3.06797035e-07]  | limits = [0.25, 0.6]
k=310, solve_time = 10.22 ms
du = [ 6.98646547e-08 -3.04114277e-07]  | limits = [0.25, 0.6]
k=311, solve_time = 10.25 ms
du = [ 6.92452734e-08 -3.01467519e-07]  | limits = [0.25, 0.6]
k=312, solve_time = 10.21 ms
du = [ 6.86343203e-08 -2.98856107e-07]  | limits = [0.25, 0.6]
k=313, solve_time = 10.25 ms
du = [ 6.80316427e-08 -2.96279401e-07]  | limits = [0.25, 0.6]
k=314, solve_time = 10.23 ms
du = [ 6.74370829e-08 -2.93736778e-07]  | limits = [0.25, 0.6]
k=315, solve_time = 10.29 ms
du = [ 6.68504961e-08 -2.91227625e-07]  | limits = [0.25, 0.6]
k=316, solve_time = 10.24 ms
du = [ 6.62717455e-08 -2.88751346e-07]  | limits = [0.25, 0.6]
k=317, solve_time = 10.16 ms
du = [ 6.57006662e-08 -2.86307357e-07]  | limits = [0.25, 0.6]
k=318, solve_time = 10.23 ms
du = [ 6.51371497e-08 -2.83895086e-07]  | limits = [0.25, 0.6]
k=319, solve_time = 10.28 ms
du = [ 6.45810391e-08 -2.81513975e-07]  | limits = [0.25, 0.6]
k=320, solve_time = 10.33 ms
du = [ 6.40322127e-08 -2.79163477e-07]  | limits = [0.25, 0.6]
k=321, solve_time = 10.30 ms
du = [ 6.34905367e-08 -2.76843057e-07]  | limits = [0.25, 0.6]
k=322, solve_time = 10.21 ms
du = [ 6.29558818e-08 -2.74552193e-07]  | limits = [0.25, 0.6]
k=323, solve_time = 10.16 ms
du = [ 6.24281361e-08 -2.72290373e-07]  | limits = [0.25, 0.6]
k=324, solve_time = 10.16 ms
du = [ 6.19071640e-08 -2.70057096e-07]  | limits = [0.25, 0.6]
k=325, solve_time = 10.22 ms
du = [ 6.13928558e-08 -2.67851872e-07]  | limits = [0.25, 0.6]
k=326, solve_time = 10.26 ms
du = [ 6.08850897e-08 -2.65674222e-07]  | limits = [0.25, 0.6]
k=327, solve_time = 10.25 ms
du = [ 6.03837669e-08 -2.63523676e-07]  | limits = [0.25, 0.6]
k=328, solve_time = 10.29 ms
du = [ 5.98887531e-08 -2.61399774e-07]  | limits = [0.25, 0.6]
k=329, solve_time = 10.33 ms
du = [ 5.93999583e-08 -2.59302067e-07]  | limits = [0.25, 0.6]
k=330, solve_time = 10.25 ms
du = [ 5.89172681e-08 -2.57230114e-07]  | limits = [0.25, 0.6]
k=331, solve_time = 10.20 ms
du = [ 5.84405865e-08 -2.55183483e-07]  | limits = [0.25, 0.6]
k=332, solve_time = 10.20 ms
du = [ 5.79697994e-08 -2.53161754e-07]  | limits = [0.25, 0.6]
k=333, solve_time = 10.28 ms
du = [ 5.75048182e-08 -2.51164512e-07]  | limits = [0.25, 0.6]
k=334, solve_time = 10.23 ms
du = [ 5.70455329e-08 -2.49191352e-07]  | limits = [0.25, 0.6]
k=335, solve_time = 10.15 ms
du = [ 5.65918688e-08 -2.47241878e-07]  | limits = [0.25, 0.6]
k=336, solve_time = 10.24 ms
du = [ 5.61437146e-08 -2.45315700e-07]  | limits = [0.25, 0.6]
k=337, solve_time = 10.19 ms
du = [ 5.57009795e-08 -2.43412439e-07]  | limits = [0.25, 0.6]
k=338, solve_time = 10.23 ms
du = [ 5.52635746e-08 -2.41531720e-07]  | limits = [0.25, 0.6]
k=339, solve_time = 10.28 ms
du = [ 5.48314277e-08 -2.39673180e-07]  | limits = [0.25, 0.6]
k=340, solve_time = 10.40 ms
du = [ 5.44044322e-08 -2.37836459e-07]  | limits = [0.25, 0.6]
k=341, solve_time = 10.29 ms
du = [ 5.39825162e-08 -2.36021208e-07]  | limits = [0.25, 0.6]
k=342, solve_time = 10.24 ms
du = [ 5.3565586e-08 -2.3422708e-07]  | limits = [0.25, 0.6]
k=343, solve_time = 13.28 ms
du = [ 5.31535744e-08 -2.32453742e-07]  | limits = [0.25, 0.6]
k=344, solve_time = 10.78 ms
du = [ 5.27463904e-08 -2.30700860e-07]  | limits = [0.25, 0.6]
k=345, solve_time = 10.66 ms
du = [ 5.23439646e-08 -2.28968112e-07]  | limits = [0.25, 0.6]
k=346, solve_time = 10.44 ms
du = [ 5.19462171e-08 -2.27255181e-07]  | limits = [0.25, 0.6]
k=347, solve_time = 10.76 ms
du = [ 5.15530685e-08 -2.25561754e-07]  | limits = [0.25, 0.6]
k=348, solve_time = 10.37 ms
du = [ 5.11644576e-08 -2.23887527e-07]  | limits = [0.25, 0.6]
k=349, solve_time = 10.46 ms
du = [ 5.07803065e-08 -2.22232200e-07]  | limits = [0.25, 0.6]
k=350, solve_time = 10.28 ms
du = [ 5.04005326e-08 -2.20595480e-07]  | limits = [0.25, 0.6]
k=351, solve_time = 10.23 ms
du = [ 5.00250854e-08 -2.18977080e-07]  | limits = [0.25, 0.6]
k=352, solve_time = 10.17 ms
du = [ 4.96538974e-08 -2.17376716e-07]  | limits = [0.25, 0.6]
k=353, solve_time = 10.38 ms
du = [ 4.92868802e-08 -2.15794112e-07]  | limits = [0.25, 0.6]
k=354, solve_time = 10.20 ms
du = [ 4.89240004e-08 -2.14228997e-07]  | limits = [0.25, 0.6]
k=355, solve_time = 10.24 ms
du = [ 4.85651618e-08 -2.12681104e-07]  | limits = [0.25, 0.6]
k=356, solve_time = 10.53 ms
du = [ 4.82103306e-08 -2.11150171e-07]  | limits = [0.25, 0.6]
k=357, solve_time = 10.26 ms
du = [ 4.78594211e-08 -2.09635943e-07]  | limits = [0.25, 0.6]
k=358, solve_time = 10.29 ms
du = [ 4.75123958e-08 -2.08138167e-07]  | limits = [0.25, 0.6]
k=359, solve_time = 10.56 ms
du = [ 4.71691764e-08 -2.06656597e-07]  | limits = [0.25, 0.6]
k=360, solve_time = 10.41 ms
du = [ 4.68297084e-08 -2.05190989e-07]  | limits = [0.25, 0.6]
k=361, solve_time = 10.28 ms
du = [ 4.64939603e-08 -2.03741108e-07]  | limits = [0.25, 0.6]
k=362, solve_time = 10.22 ms
du = [ 4.61618272e-08 -2.02306718e-07]  | limits = [0.25, 0.6]
k=363, solve_time = 10.23 ms
du = [ 4.58333062e-08 -2.00887591e-07]  | limits = [0.25, 0.6]
k=364, solve_time = 10.27 ms
du = [ 4.55083097e-08 -1.99483503e-07]  | limits = [0.25, 0.6]
k=365, solve_time = 10.30 ms
du = [ 4.51868001e-08 -1.98094231e-07]  | limits = [0.25, 0.6]
k=366, solve_time = 10.21 ms
du = [ 4.48687182e-08 -1.96719561e-07]  | limits = [0.25, 0.6]
k=367, solve_time = 10.37 ms
du = [ 4.45540140e-08 -1.95359278e-07]  | limits = [0.25, 0.6]
k=368, solve_time = 10.34 ms
du = [ 4.42426463e-08 -1.94013173e-07]  | limits = [0.25, 0.6]
k=369, solve_time = 10.31 ms
du = [ 4.39345539e-08 -1.92681043e-07]  | limits = [0.25, 0.6]
k=370, solve_time = 10.30 ms
du = [ 4.36296932e-08 -1.91362685e-07]  | limits = [0.25, 0.6]
k=371, solve_time = 10.31 ms
du = [ 4.33280298e-08 -1.90057901e-07]  | limits = [0.25, 0.6]
k=372, solve_time = 10.91 ms
du = [ 4.30294921e-08 -1.88766497e-07]  | limits = [0.25, 0.6]
k=373, solve_time = 10.25 ms
du = [ 4.27340633e-08 -1.87488283e-07]  | limits = [0.25, 0.6]
k=374, solve_time = 10.14 ms
du = [ 4.24416664e-08 -1.86223070e-07]  | limits = [0.25, 0.6]
k=375, solve_time = 10.15 ms
du = [ 4.21522925e-08 -1.84970675e-07]  | limits = [0.25, 0.6]
k=376, solve_time = 10.29 ms
du = [ 4.18658723e-08 -1.83730917e-07]  | limits = [0.25, 0.6]
k=377, solve_time = 10.25 ms
du = [ 4.15823752e-08 -1.82503618e-07]  | limits = [0.25, 0.6]
k=378, solve_time = 10.22 ms
du = [ 4.13017559e-08 -1.81288603e-07]  | limits = [0.25, 0.6]
k=379, solve_time = 10.15 ms
du = [ 4.10239714e-08 -1.80085701e-07]  | limits = [0.25, 0.6]
k=380, solve_time = 10.27 ms
du = [ 4.07489976e-08 -1.78894744e-07]  | limits = [0.25, 0.6]
k=381, solve_time = 10.24 ms
du = [ 4.04767681e-08 -1.77715565e-07]  | limits = [0.25, 0.6]
k=382, solve_time = 10.19 ms
du = [ 4.02072587e-08 -1.76548003e-07]  | limits = [0.25, 0.6]
k=383, solve_time = 10.30 ms
du = [ 3.99404515e-08 -1.75391896e-07]  | limits = [0.25, 0.6]
k=384, solve_time = 10.16 ms
du = [ 3.96762618e-08 -1.74247088e-07]  | limits = [0.25, 0.6]
k=385, solve_time = 10.30 ms
du = [ 3.94147025e-08 -1.73113425e-07]  | limits = [0.25, 0.6]
k=386, solve_time = 10.20 ms
du = [ 3.91557026e-08 -1.71990753e-07]  | limits = [0.25, 0.6]
k=387, solve_time = 10.16 ms
du = [ 3.88992394e-08 -1.70878925e-07]  | limits = [0.25, 0.6]
k=388, solve_time = 10.21 ms
du = [ 3.86452827e-08 -1.69777793e-07]  | limits = [0.25, 0.6]
k=389, solve_time = 10.24 ms
du = [ 3.83937966e-08 -1.68687213e-07]  | limits = [0.25, 0.6]
k=390, solve_time = 10.19 ms
du = [ 3.81447357e-08 -1.67607044e-07]  | limits = [0.25, 0.6]
k=391, solve_time = 10.18 ms
du = [ 3.78980757e-08 -1.66537144e-07]  | limits = [0.25, 0.6]
k=392, solve_time = 10.21 ms
du = [ 3.76537966e-08 -1.65477379e-07]  | limits = [0.25, 0.6]
k=393, solve_time = 10.19 ms
du = [ 3.74118369e-08 -1.64427612e-07]  | limits = [0.25, 0.6]
k=394, solve_time = 10.16 ms
du = [ 3.71721914e-08 -1.63387711e-07]  | limits = [0.25, 0.6]
k=395, solve_time = 10.20 ms
du = [ 3.69348192e-08 -1.62357545e-07]  | limits = [0.25, 0.6]
k=396, solve_time = 10.12 ms
du = [ 3.66996935e-08 -1.61336987e-07]  | limits = [0.25, 0.6]
k=397, solve_time = 10.18 ms
du = [ 3.64667739e-08 -1.60325910e-07]  | limits = [0.25, 0.6]
k=398, solve_time = 10.22 ms
du = [ 3.62360449e-08 -1.59324190e-07]  | limits = [0.25, 0.6]
k=399, solve_time = 10.28 ms
du = [ 3.60074636e-08 -1.58331705e-07]  | limits = [0.25, 0.6]
k=400, solve_time = 10.24 ms
du = [ 3.57810165e-08 -1.57348335e-07]  | limits = [0.25, 0.6]
k=401, solve_time = 10.16 ms
du = [ 3.55566707e-08 -1.56373961e-07]  | limits = [0.25, 0.6]
k=402, solve_time = 10.25 ms
du = [ 3.53343924e-08 -1.55408469e-07]  | limits = [0.25, 0.6]
k=403, solve_time = 10.21 ms
du = [ 3.51141507e-08 -1.54451742e-07]  | limits = [0.25, 0.6]
k=404, solve_time = 10.22 ms
du = [ 3.48959446e-08 -1.53503670e-07]  | limits = [0.25, 0.6]
k=405, solve_time = 10.23 ms
du = [ 3.4679711e-08 -1.5256414e-07]  | limits = [0.25, 0.6]
k=406, solve_time = 10.18 ms
du = [ 3.44654572e-08 -1.51633046e-07]  | limits = [0.25, 0.6]
k=407, solve_time = 10.26 ms
du = [ 3.42531391e-08 -1.50710277e-07]  | limits = [0.25, 0.6]
k=408, solve_time = 10.25 ms
du = [ 3.40427357e-08 -1.49795731e-07]  | limits = [0.25, 0.6]
k=409, solve_time = 10.13 ms
du = [ 3.38342257e-08 -1.48889303e-07]  | limits = [0.25, 0.6]
k=410, solve_time = 10.32 ms
du = [ 3.36275821e-08 -1.47990891e-07]  | limits = [0.25, 0.6]
k=411, solve_time = 10.27 ms
du = [ 3.34227803e-08 -1.47100393e-07]  | limits = [0.25, 0.6]
k=412, solve_time = 10.22 ms
du = [ 3.32198030e-08 -1.46217712e-07]  | limits = [0.25, 0.6]
k=413, solve_time = 10.26 ms
du = [ 3.30186127e-08 -1.45342750e-07]  | limits = [0.25, 0.6]
k=414, solve_time = 10.28 ms
du = [ 3.28192110e-08 -1.44475411e-07]  | limits = [0.25, 0.6]
k=415, solve_time = 10.21 ms
du = [ 3.26215484e-08 -1.43615601e-07]  | limits = [0.25, 0.6]
k=416, solve_time = 10.17 ms
du = [ 3.24256281e-08 -1.42763227e-07]  | limits = [0.25, 0.6]
k=417, solve_time = 10.21 ms
du = [ 3.22314054e-08 -1.41918197e-07]  | limits = [0.25, 0.6]
k=418, solve_time = 10.26 ms
du = [ 3.20388723e-08 -1.41080421e-07]  | limits = [0.25, 0.6]
k=419, solve_time = 10.22 ms
du = [ 3.18480133e-08 -1.40249811e-07]  | limits = [0.25, 0.6]
k=420, solve_time = 10.20 ms
du = [ 3.16587920e-08 -1.39426279e-07]  | limits = [0.25, 0.6]
k=421, solve_time = 10.22 ms
du = [ 3.14711985e-08 -1.38609739e-07]  | limits = [0.25, 0.6]
k=422, solve_time = 10.24 ms
du = [ 3.12852125e-08 -1.37800108e-07]  | limits = [0.25, 0.6]
k=423, solve_time = 10.28 ms
du = [ 3.11008105e-08 -1.36997301e-07]  | limits = [0.25, 0.6]
k=424, solve_time = 10.29 ms
du = [ 3.09179773e-08 -1.36201235e-07]  | limits = [0.25, 0.6]
k=425, solve_time = 10.22 ms
du = [ 3.07366877e-08 -1.35411832e-07]  | limits = [0.25, 0.6]
k=426, solve_time = 10.20 ms
du = [ 3.05569291e-08 -1.34629010e-07]  | limits = [0.25, 0.6]
k=427, solve_time = 10.25 ms
du = [ 3.03786859e-08 -1.33852692e-07]  | limits = [0.25, 0.6]
k=428, solve_time = 10.25 ms
du = [ 3.02019275e-08 -1.33082800e-07]  | limits = [0.25, 0.6]
k=429, solve_time = 10.25 ms
du = [ 3.00266449e-08 -1.32319257e-07]  | limits = [0.25, 0.6]
k=430, solve_time = 10.20 ms
du = [ 2.98528212e-08 -1.31561990e-07]  | limits = [0.25, 0.6]
k=431, solve_time = 10.26 ms
du = [ 2.96804384e-08 -1.30810925e-07]  | limits = [0.25, 0.6]
k=432, solve_time = 10.23 ms
du = [ 2.95094734e-08 -1.30065987e-07]  | limits = [0.25, 0.6]
k=433, solve_time = 10.26 ms
du = [ 2.93399145e-08 -1.29327107e-07]  | limits = [0.25, 0.6]
k=434, solve_time = 10.28 ms
du = [ 2.91717470e-08 -1.28594213e-07]  | limits = [0.25, 0.6]
k=435, solve_time = 10.22 ms
du = [ 2.90049487e-08 -1.27867236e-07]  | limits = [0.25, 0.6]
k=436, solve_time = 10.30 ms
du = [ 2.88395127e-08 -1.27146107e-07]  | limits = [0.25, 0.6]
k=437, solve_time = 10.22 ms
du = [ 2.86754085e-08 -1.26430758e-07]  | limits = [0.25, 0.6]
k=438, solve_time = 10.23 ms
du = [ 2.85126346e-08 -1.25721124e-07]  | limits = [0.25, 0.6]
k=439, solve_time = 10.25 ms
du = [ 2.83511709e-08 -1.25017138e-07]  | limits = [0.25, 0.6]
k=440, solve_time = 10.18 ms
du = [ 2.81909922e-08 -1.24318736e-07]  | limits = [0.25, 0.6]
k=441, solve_time = 10.20 ms
du = [ 2.80321045e-08 -1.23625854e-07]  | limits = [0.25, 0.6]
k=442, solve_time = 10.17 ms
du = [ 2.78744760e-08 -1.22938429e-07]  | limits = [0.25, 0.6]
k=443, solve_time = 10.23 ms
du = [ 2.77180979e-08 -1.22256401e-07]  | limits = [0.25, 0.6]
k=444, solve_time = 10.25 ms
du = [ 2.75629527e-08 -1.21579706e-07]  | limits = [0.25, 0.6]
k=445, solve_time = 10.17 ms
du = [ 2.74090316e-08 -1.20908287e-07]  | limits = [0.25, 0.6]
k=446, solve_time = 10.25 ms
du = [ 2.72563228e-08 -1.20242082e-07]  | limits = [0.25, 0.6]
k=447, solve_time = 10.19 ms
du = [ 2.71047927e-08 -1.19581035e-07]  | limits = [0.25, 0.6]
k=448, solve_time = 10.17 ms
du = [ 2.69544627e-08 -1.18925087e-07]  | limits = [0.25, 0.6]
k=449, solve_time = 10.27 ms
du = [ 2.68052846e-08 -1.18274181e-07]  | limits = [0.25, 0.6]
k=450, solve_time = 10.35 ms
du = [ 2.66572722e-08 -1.17628262e-07]  | limits = [0.25, 0.6]
k=451, solve_time = 10.20 ms
du = [ 2.65103877e-08 -1.16987274e-07]  | limits = [0.25, 0.6]
k=452, solve_time = 10.23 ms
du = [ 2.63646395e-08 -1.16351163e-07]  | limits = [0.25, 0.6]
k=453, solve_time = 10.27 ms
du = [ 2.62200079e-08 -1.15719876e-07]  | limits = [0.25, 0.6]
k=454, solve_time = 10.29 ms
du = [ 2.60764762e-08 -1.15093360e-07]  | limits = [0.25, 0.6]
k=455, solve_time = 10.29 ms
du = [ 2.59340394e-08 -1.14471562e-07]  | limits = [0.25, 0.6]
k=456, solve_time = 10.30 ms
du = [ 2.57926711e-08 -1.13854431e-07]  | limits = [0.25, 0.6]
k=457, solve_time = 10.24 ms
du = [ 2.56523865e-08 -1.13241917e-07]  | limits = [0.25, 0.6]
k=458, solve_time = 10.19 ms
du = [ 2.55131484e-08 -1.12633969e-07]  | limits = [0.25, 0.6]
k=459, solve_time = 10.22 ms
du = [ 2.53749462e-08 -1.12030538e-07]  | limits = [0.25, 0.6]
k=460, solve_time = 10.23 ms
du = [ 2.52377895e-08 -1.11431576e-07]  | limits = [0.25, 0.6]
k=461, solve_time = 10.22 ms
du = [ 2.51016494e-08 -1.10837034e-07]  | limits = [0.25, 0.6]
k=462, solve_time = 10.19 ms
du = [ 2.49665177e-08 -1.10246866e-07]  | limits = [0.25, 0.6]
k=463, solve_time = 10.29 ms
du = [ 2.48323886e-08 -1.09661024e-07]  | limits = [0.25, 0.6]
k=464, solve_time = 10.22 ms
du = [ 2.46992450e-08 -1.09079463e-07]  | limits = [0.25, 0.6]
k=465, solve_time = 10.21 ms
du = [ 2.45670828e-08 -1.08502138e-07]  | limits = [0.25, 0.6]
k=466, solve_time = 10.14 ms
du = [ 2.44358820e-08 -1.07929003e-07]  | limits = [0.25, 0.6]
k=467, solve_time = 10.19 ms
du = [ 2.43056411e-08 -1.07360014e-07]  | limits = [0.25, 0.6]
k=468, solve_time = 10.18 ms
du = [ 2.41763518e-08 -1.06795128e-07]  | limits = [0.25, 0.6]
k=469, solve_time = 10.17 ms
du = [ 2.40479959e-08 -1.06234303e-07]  | limits = [0.25, 0.6]
k=470, solve_time = 10.17 ms
du = [ 2.39205629e-08 -1.05677494e-07]  | limits = [0.25, 0.6]
k=471, solve_time = 10.23 ms
du = [ 2.37940494e-08 -1.05124662e-07]  | limits = [0.25, 0.6]
k=472, solve_time = 10.25 ms
du = [ 2.36684480e-08 -1.04575764e-07]  | limits = [0.25, 0.6]
k=473, solve_time = 10.25 ms
du = [ 2.35437418e-08 -1.04030760e-07]  | limits = [0.25, 0.6]
k=474, solve_time = 10.25 ms
du = [ 2.34199200e-08 -1.03489609e-07]  | limits = [0.25, 0.6]
k=475, solve_time = 10.26 ms
du = [ 2.32969849e-08 -1.02952272e-07]  | limits = [0.25, 0.6]
k=476, solve_time = 10.25 ms
du = [ 2.31749158e-08 -1.02418711e-07]  | limits = [0.25, 0.6]
k=477, solve_time = 10.23 ms
du = [ 2.30537035e-08 -1.01888885e-07]  | limits = [0.25, 0.6]
k=478, solve_time = 10.21 ms
du = [ 2.29333516e-08 -1.01362758e-07]  | limits = [0.25, 0.6]
k=479, solve_time = 10.24 ms
du = [ 2.28138432e-08 -1.00840291e-07]  | limits = [0.25, 0.6]
k=480, solve_time = 10.27 ms
du = [ 2.26951604e-08 -1.00321448e-07]  | limits = [0.25, 0.6]
k=481, solve_time = 10.29 ms
du = [ 2.25773157e-08 -9.98061921e-08]  | limits = [0.25, 0.6]
k=482, solve_time = 10.29 ms
du = [ 2.24602749e-08 -9.92944869e-08]  | limits = [0.25, 0.6]
k=483, solve_time = 10.23 ms
du = [ 2.23440618e-08 -9.87862969e-08]  | limits = [0.25, 0.6]
k=484, solve_time = 10.23 ms
du = [ 2.22286312e-08 -9.82815869e-08]  | limits = [0.25, 0.6]
k=485, solve_time = 10.18 ms
du = [ 2.21140057e-08 -9.77803224e-08]  | limits = [0.25, 0.6]
k=486, solve_time = 10.18 ms
du = [ 2.20001630e-08 -9.72824686e-08]  | limits = [0.25, 0.6]
k=487, solve_time = 10.24 ms
du = [ 2.18871007e-08 -9.67879924e-08]  | limits = [0.25, 0.6]
k=488, solve_time = 10.18 ms
du = [ 2.17747961e-08 -9.62968597e-08]  | limits = [0.25, 0.6]
k=489, solve_time = 10.23 ms
du = [ 2.16632643e-08 -9.58090379e-08]  | limits = [0.25, 0.6]
k=490, solve_time = 10.22 ms
du = [ 2.15524887e-08 -9.53244946e-08]  | limits = [0.25, 0.6]
k=491, solve_time = 10.24 ms
du = [ 2.14424520e-08 -9.48431972e-08]  | limits = [0.25, 0.6]
k=492, solve_time = 10.22 ms
du = [ 2.13331542e-08 -9.43651144e-08]  | limits = [0.25, 0.6]
k=493, solve_time = 10.27 ms
du = [ 2.12245955e-08 -9.38902148e-08]  | limits = [0.25, 0.6]
k=494, solve_time = 10.36 ms
du = [ 2.11167611e-08 -9.34184673e-08]  | limits = [0.25, 0.6]
k=495, solve_time = 10.27 ms
du = [ 2.10096378e-08 -9.29498416e-08]  | limits = [0.25, 0.6]
